PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
48;2021;1;9999;17;1;7;2;3;0;0;0;0;65;1;36;8;2;18;9;4;15;18461;0;234;0;0
52;2019;1;9999;15;3;6;6;10;0;0;0;0;60;2;28;198;110;17;6;4;11;14395;0;1154;0;0
52;2020;1;9999;12;1;5;4;2;0;0;0;0;68;0;24;172;93;11;8;4;10;13217;537;361;0;0
52;2021;1;9999;17;4;6;6;2;0;0;0;0;66;2;51;276;134;12;4;6;20;19489;0;1122;0;0
79;2021;2;9999;24;3;7;38;6;0;0;0;1;58;2;46;0;0;43;13;14;44;28652;0;3314;4;3
115;2021;3;9999;8;2;2;2;-3;0;0;0;0;59;0;24;0;0;3;3;2;6;7438;1151;0;0;0
115;2022;3;9999;17;6;4;0;3;1;1;0;0;62;0;53;3;0;12;6;5;17;15270;1955;23;0;0
120;2021;3;9999;8;0;3;6;-1;0;1;0;0;62;0;9;133;59;3;3;2;9;8189;1151;246;0;0
120;2022;3;9999;17;8;8;8;14;0;0;0;0;65;2;59;283;138;9;3;5;9;15546;1955;8;0;0
124;2019;4;9999;7;1;1;0;-3;0;0;0;0;56;0;10;67;33;3;0;1;7;4106;383;415;0;0
124;2020;4;9999;14;2;8;2;1;1;0;0;0;63;0;36;253;126;20;4;8;14;14403;962;0;0;0
124;2021;4;9999;17;6;8;0;3;1;2;0;0;62;2;56;256;139;26;6;5;8;14559;2243;29;0;0
124;2022;4;9999;17;7;6;4;4;0;3;0;0;59;2;51;260;137;26;7;3;19;17101;1272;827;0;0
152;2019;5;9999;12;2;1;8;-4;0;0;0;0;59;0;13;0;0;20;6;6;11;13650;494;817;0;0
152;2020;5;9999;16;3;7;2;0;1;1;0;0;65;1;45;0;0;21;21;6;7;22117;2048;669;0;0
152;2021;5;9999;6;0;3;0;0;0;0;0;0;65;0;21;4;2;9;17;5;2;7965;686;211;0;0
152;2022;5;9999;7;3;1;14;4;0;0;0;0;72;0;18;0;0;7;8;7;11;9271;980;662;0;0
154;2019;4;9999;7;2;2;2;1;0;0;0;0;66;0;10;9;2;15;1;5;5;6291;383;194;0;0
154;2020;4;9999;14;3;10;7;11;0;0;0;0;66;0;39;24;8;45;4;4;20;14627;427;483;1;0
154;2021;4;9999;17;4;9;9;8;0;2;0;0;68;0;33;29;9;45;6;4;25;16377;808;339;1;0
157;2019;6;9999;1;0;0;0;0;0;0;0;0;53;0;1;4;0;0;0;0;0;473;0;0;0;0
157;2020;6;9999;5;1;2;0;-2;0;0;0;0;60;0;6;57;27;8;0;0;4;3742;364;0;0;0
157;2021;6;9999;6;1;1;0;-4;0;1;0;0;60;1;14;114;50;9;3;1;6;7597;333;0;0;0
157;2022;6;9999;11;2;0;0;-1;1;0;0;0;60;1;22;14;6;9;2;3;4;10200;1162;0;0;0
159;2019;4;9999;7;2;3;0;-1;0;0;0;0;67;0;23;2;2;13;1;6;2;6335;1343;0;0;0
159;2020;4;9999;14;9;8;4;11;1;0;0;0;66;3;45;3;1;7;10;4;4;14523;1020;94;0;0
159;2021;4;9999;17;5;8;9;6;2;2;0;0;64;3;46;1;1;13;9;7;7;15948;2175;0;1;0
160;2019;4;9999;7;2;1;0;-3;0;0;0;0;56;1;5;0;0;15;3;1;12;5376;0;18;0;0
160;2020;4;9999;14;4;1;6;-1;0;0;0;0;60;0;17;0;0;25;4;4;6;11570;427;194;0;0
160;2021;4;9999;17;8;9;8;4;1;3;0;0;62;1;36;2;0;20;5;7;10;14862;2200;25;0;0
178;2019;4;9999;7;1;1;4;-1;0;0;1;0;55;1;9;4;0;3;5;2;2;4729;90;479;0;0
178;2020;4;9999;14;0;3;0;-3;0;0;0;0;58;0;25;1;0;14;12;3;6;13882;0;532;0;0
